timestamp,device,session_id,seq,true_dist_m,angle_deg,distance_m,rx_power,fp_power,fp_rx_ratio,quality,std_noise,fp_ampl1,fp_ampl2,fp_ampl3,cir_power,rxpacc,nlos_suspect,anchor_id,error_m,ampl1_ratio,cir_norm,ampl_spread
2026-02-19T22:52:02.517,T1,20260219_225121,319,1.0,0.0,3.1,-71.9,-90.9,-19.0,289.28,36,8286,10414,9305,11956,1168,True,1,2.1,0.8404077285866424,10.236301369863014,1109
2026-02-19T22:52:02.936,T1,20260219_225121,320,1.0,0.0,2.978,-72.3,-89.2,-16.9,292.58,52,14999,15214,9652,16476,1392,True,1,1.978,1.206386230193839,11.836206896551724,5562
2026-02-19T22:52:03.476,T1,20260219_225121,321,1.0,0.0,3.218,-71.3,-87.7,-16.4,413.3,40,70,16532,15701,12336,1161,True,1,2.218,0.004343374802221326,10.62532299741602,831
2026-02-19T22:52:03.956,T1,20260219_225121,322,1.0,0.0,3.236,-69.7,-82.6,-12.9,408.84,44,17257,17989,11851,14151,1180,True,1,2.236,1.1566353887399463,11.992372881355932,6138
2026-02-19T22:52:04.436,T1,20260219_225121,323,1.0,0.0,3.03,-70.8,-88.3,-17.5,326.38,40,16575,13055,10080,14683,1247,True,1,2.03,1.4328938837259564,11.774659182036888,2975
2026-02-19T22:52:04.975,T1,20260219_225121,324,1.0,0.0,3.325,-70.8,-87.9,-17.2,284.4,48,16803,13651,10287,14345,1230,True,1,2.325,1.4038766814270198,11.66260162601626,3364
2026-02-19T22:52:05.456,T1,20260219_225121,325,1.0,0.0,3.565,-70.9,-87.2,-16.3,329.71,52,16713,17145,11596,16703,1332,True,1,2.565,1.1630075501896247,12.53978978978979,5549
2026-02-19T22:52:05.936,T1,20260219_225121,326,1.0,0.0,3.297,-70.8,-85.4,-14.6,409.55,40,13877,16382,13023,13186,1183,True,1,2.297,0.9438530862098282,11.146238377007608,3359
2026-02-19T22:52:06.416,T1,20260219_225121,327,1.0,0.0,3.161,-67.8,-84.3,-16.4,406.05,44,18316,17866,12394,19194,1287,True,1,2.161,1.2105750165234632,14.913752913752914,5472
2026-02-19T22:52:06.956,T1,20260219_225121,328,1.0,0.0,3.26,-71.0,-85.2,-14.3,388.77,44,16343,17106,15013,16065,1311,True,1,2.26,1.0176531025249853,12.254004576659039,2093
2026-02-19T22:52:08.037,T1,20260219_225121,330,1.0,0.0,3.119,-71.4,-84.9,-13.5,403.25,48,17643,19356,16750,18727,1439,True,1,2.119,0.9772890932255027,13.013898540653232,2606
2026-02-19T22:52:08.456,T1,20260219_225121,331,1.0,0.0,3.189,-71.0,-86.9,-15.9,291.8,60,17412,17508,11223,16792,1342,True,1,2.189,1.2120705857784275,12.512667660208644,6285
2026-02-19T22:52:08.936,T1,20260219_225121,332,1.0,0.0,3.297,-72.3,-88.4,-16.2,325.23,48,16744,15611,10742,15996,1368,True,1,2.297,1.2707471635107956,11.692982456140351,4869
2026-02-19T22:52:13.495,T1,20260219_225121,341,1.0,0.0,2.631,-78.0,-95.2,-17.3,114.95,56,10575,6437,5071,14479,1585,True,1,1.6309999999999998,1.837851929092805,9.135015772870663,1366
2026-02-19T22:52:15.896,T1,20260219_225121,346,1.0,0.0,2.613,-87.7,-95.3,-7.6,194.91,56,6340,10915,11102,11833,2007,True,1,1.613,0.5759186083480946,5.8958644743398105,187
2026-02-19T22:52:16.915,T1,20260219_225121,348,1.0,0.0,2.575,-82.5,-97.4,-14.9,135.8,60,6352,8148,5495,13379,1783,True,1,1.5750000000000002,0.9311734955654914,7.503645541222658,2653
2026-02-19T22:52:17.995,T1,20260219_225121,350,1.0,0.0,2.537,-81.7,-95.0,-13.3,177.87,52,9090,9249,9248,15046,1839,True,1,1.537,0.9828620857436341,8.181620445894508,1
