
sample,millis,distance_m,round_trip_ticks,reply_delay_ticks,tof_ticks,rx_power_dBm,fp_power_dBm,quality,temp_C,pressure_hPa
208,63953,158.0459,370015912,369948519,33696,-64.75,-103.04,25.87,25.40,1005.5
209,64022,157.9614,369680112,369612755,33678,-64.75,-101.91,47.37,25.40,1005.5
210,64091,158.0599,374607226,374539828,33699,-65.85,-101.55,23.30,25.40,1005.5
211,64160,157.9661,369145780,369078421,33679,-66.02,-102.11,43.15,25.40,1005.5
212,64229,158.0318,368633417,368566030,33693,-66.22,-101.69,27.59,25.40,1005.5
213,64298,158.0083,368453835,368386459,33688,-65.14,-102.34,38.91,25.40,1005.5
214,64367,157.9990,369538349,369470977,33686,-65.38,-102.88,30.93,25.40,1005.5
215,64436,157.9943,369069473,369002103,33685,-65.82,-102.55,34.49,25.40,1005.5
216,64506,158.0365,373265979,373198590,33694,-64.82,-103.00,31.89,25.40,1005.5
217,64574,158.0130,357832390,357765011,33689,-65.02,-103.23,29.66,25.40,1005.5
218,64643,157.9145,357525320,357457983,33668,-65.15,-101.87,21.06,25.40,1005.5
219,64711,158.0975,370935200,370867785,33707,-65.51,-101.39,15.75,25.40,1005.5
220,64780,158.0740,367885912,367818508,33702,-64.48,-102.98,40.72,25.40,1005.5
221,64849,158.1068,367465204,367397785,33709,-65.47,-99.49,12.85,25.40,1005.5
222,64918,157.9896,368695671,368628303,33684,-64.81,-102.71,29.09,25.40,1005.5
223,64987,157.9943,368756209,368688839,33685,-65.42,-103.04,28.00,25.40,1005.5
224,65056,157.9802,370729112,370661748,33682,-65.13,-101.21,12.13,25.40,1005.5
225,65142,158.0506,369020780,368953386,33697,-65.02,-100.05,14.41,25.40,1005.5
226,65210,158.0552,367685945,367618549,33698,-65.04,-102.12,24.44,25.40,1005.5
227,65279,158.0130,369040365,368972987,33689,-65.04,-100.63,15.14,25.40,1005.5
228,65348,158.0693,369553580,369486177,33701,-64.42,-99.79,10.11,25.40,1005.5
229,65417,158.0459,368546635,368479243,33696,-65.32,-102.76,36.66,25.40,1005.5
230,65486,158.0693,368443910,368376508,33701,-65.62,-103.43,36.62,25.40,1005.5
231,65555,158.0177,369418970,369351589,33690,-64.91,-102.50,40.47,25.40,1005.5
232,65624,158.0365,368473505,368406117,33694,-65.31,-100.23,13.56,25.40,1005.5
233,65693,158.0412,370172527,370105137,33695,-65.01,-101.55,23.17,25.40,1005.5
234,65762,157.9052,367114007,367046675,33666,-65.27,-102.84,28.43,25.40,1005.5
235,65831,158.0740,371159081,371091676,33702,-64.45,-100.63,12.32,25.40,1005.5
236,65900,158.0318,370646768,370579381,33693,-64.73,-100.82,15.31,25.40,1005.5
237,65969,158.0130,369024928,368957549,33689,-65.81,-103.14,30.20,25.40,1005.5
238,66038,158.0365,370810036,370742647,33694,-64.67,-100.89,14.79,25.40,1005.5
239,66108,158.0834,370904455,370837046,33704,-64.78,-102.92,37.51,25.40,1005.5
240,66176,158.0693,370596995,370529593,33701,-64.46,-102.60,33.39,25.40,1005.5
241,66245,158.0177,370903927,370836547,33690,-64.63,-102.55,21.56,25.40,1005.5
242,66314,158.0787,372031576,371964170,33703,-64.46,-99.02,7.12,25.40,1005.5
243,66384,158.0177,371908969,371841589,33690,-64.36,-101.61,15.63,25.40,1005.5
244,66452,158.0928,356576392,356508980,33706,-64.88,-101.54,24.42,25.40,1005.5
245,66520,158.1303,369504045,369436617,33714,-64.73,-100.66,15.26,25.40,1005.5
246,66589,158.0646,369912364,369844964,33700,-64.97,-100.78,17.25,25.40,1005.5
247,66658,158.0271,370540334,370472950,33692,-64.86,-101.81,21.54,25.40,1005.5
248,66727,158.0177,371837004,371769624,33690,-64.39,-101.95,38.33,25.40,1005.5
249,66796,158.0459,369203021,369135628,33696,-64.32,-102.15,39.32,25.40,1005.5
250,66882,158.0412,370070634,370003244,33695,-64.32,-100.34,22.85,25.40,1005.5
251,66950,158.0412,365906652,365839262,33695,-64.45,-102.65,40.51,25.40,1005.5
252,67019,158.1115,366796823,366729403,33710,-65.12,-103.45,32.31,25.40,1005.5
253,67088,158.0928,367276877,367209465,33706,-65.44,-101.73,33.90,25.40,1005.5
254,67157,158.0552,366532242,366464845,33698,-64.81,-102.43,36.81,25.40,1005.5
255,67226,158.0693,366955455,366888052,33701,-64.54,-101.21,37.97,25.40,1005.5
256,67295,158.1068,368217344,368149926,33709,-65.26,-100.92,22.82,25.40,1005.5
257,67364,158.0740,371827263,371759858,33702,-64.25,-101.08,32.89,25.40,1005.5
258,67433,158.0083,358779772,358712395,33688,-64.74,-102.76,29.64,25.40,1005.5
259,67502,158.1162,367948555,367881133,33711,-65.17,-99.47,24.68,25.40,1005.5
260,67571,158.0552,372353592,372286195,33698,-64.79,-101.48,30.12,25.40,1005.5
261,67640,158.0787,373271960,373204553,33703,-65.08,-102.26,39.86,25.40,1005.5
262,67709,158.1021,358357246,358289830,33708,-64.75,-99.59,25.55,25.40,1005.5
263,67778,158.0740,372594292,372526887,33702,-64.66,-99.46,19.35,25.40,1005.5
264,67847,158.0881,373399000,373331590,33705,-64.66,-101.59,40.96,25.40,1005.5
265,67916,158.0975,359960381,359892966,33707,-64.93,-101.57,30.80,25.40,1005.5
266,67985,158.0506,359751357,359683962,33697,-64.52,-101.26,31.13,25.40,1005.5
267,68054,158.0834,358694992,358627584,33704,-64.27,-101.62,38.96,25.40,1005.5
268,68123,158.0646,373308887,373241487,33700,-65.74,-101.41,41.93,25.40,1005.5
269,68192,158.1256,373926737,373859311,33713,-65.84,-101.52,34.21,25.40,1005.5
270,68262,157.9708,373913742,373846381,33680,-82.35,-102.62,37.48,25.40,1005.5
271,68330,158.1115,361646693,361579272,33710,-65.26,-102.34,36.65,25.40,1005.5
272,68399,158.0881,362324458,362257047,33705,-64.55,-100.23,20.83,25.40,1005.5
273,68468,158.0177,366783343,366715962,33690,-64.36,-101.52,36.48,25.40,1005.5
274,68537,158.1209,359332105,359264681,33712,-64.32,-101.25,37.20,25.40,1005.5
275,68623,158.0646,370417334,370349933,33700,-64.35,-99.92,18.82,25.40,1005.5
